<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010905,10679.53,10679.53,10452.98,10598.79,0
20010906,10575.26,10812.89,10509.68,10650.33,0
20010907,10541.86,10566.65,10405.80,10516.79,0
20010910,10395.10,10457.09,10195.69,10195.69,0
20010911,10244.55,10344.58,10207.03,10292.95,0
20010912,10140.42,10140.42,9600.84,9610.10,0
20010913,9663.93,9682.63,9476.87,9613.09,0
20010914,9625.26,10009.45,9580.34,10008.89,0
20010917,9881.06,9881.06,9447.76,9504.41,0
20010918,9623.98,9945.80,9623.98,9679.88,0
20010919,9682.52,10061.10,9681.79,9939.60,0
20010920,9837.17,9842.16,9688.12,9785.16,0
20010921,9658.19,9658.19,9382.95,9554.99,0
20010925,9637.60,9867.86,9593.07,9693.97,0
20010926,9687.51,9697.12,9551.73,9641.70,0
20010927,9601.07,9727.30,9585.81,9696.53,0
20010928,9783.80,9933.69,9737.42,9774.68,0
20011001,9766.75,9972.28,9604.09,9972.28,0
20011002,9937.81,10136.56,9871.94,10136.56,0
20011003,10194.73,10221.82,9924.23,9924.23,0
20011004,10038.61,10215.89,10038.61,10205.48,0
20011005,10165.45,10261.86,10039.51,10205.87,0
20011009,10143.39,10143.39,10011.77,10011.77,0
20011010,9995.43,10030.22,9934.00,9964.88,0
20011011,10074.51,10347.01,10052.08,10347.01,0
20011012,10474.35,10632.35,10421.57,10632.35,0
20011015,10545.25,10545.25,10447.99,10452.54,0
20011016,10433.90,10694.06,10412.25,10637.82,0
20011017,10672.00,10790.03,10563.52,10755.45,0
20011018,10654.53,10668.69,10474.85,10474.85,0
20011019,10472.44,10595.97,10437.80,10538.79,0
20011023,10685.35,10861.56,10649.59,10861.56,0
20011024,10811.68,10960.91,10771.63,10802.15,0
20011025,10847.10,11052.01,10838.60,10880.10,0
20011026,10951.88,11020.50,10774.29,10795.16,0
20011029,10779.19,10798.08,10612.31,10612.31,0
20011030,10522.82,10538.79,10416.44,10512.82,0
20011031,10443.65,10478.51,10366.34,10366.34,0
20011101,10430.59,10498.39,10318.17,10347.28,0
20011102,10460.61,10538.45,10322.28,10383.78,0
20011105,10427.35,10447.54,10345.28,10447.54,0
20011106,10518.02,10633.72,10494.89,10633.72,0
20011107,10607.35,10632.49,10284.98,10284.98,0
20011108,10345.49,10431.79,10269.97,10431.79,0
20011109,10412.62,10412.62,10213.01,10215.71,0
20011112,10225.59,10260.70,10081.56,10081.56,0
20011113,10035.65,10057.74,9955.09,10030.56,0
20011114,10120.16,10231.16,10076.59,10086.76,0
20011115,10159.38,10489.89,10142.42,10489.89,0
20011116,10488.70,10850.48,10454.20,10649.09,0
20011119,10643.33,10849.19,10618.69,10727.94,0
